condition,n,ll_degroot,ll_count,aic_degroot,aic_count,delta_aic
slider,1874,1230.523850949647,1115.3087549322017,-2457.047701899294,-2224.6175098644035,-232.43019203489075
interactive,2233,1083.1458682445077,1392.6092245583936,-2162.2917364890154,-2779.2184491167873,616.9267126277718
