condition,model,anchor,mse,aic,k,sigma,w_update,w_mle,w_mid,alpha,delta
slider,degroot,False,0.013748888276379137,-2713.2765379230186,1,0.11725565349431616,1.0,0.0,0.0,0.7646065534733861,
slider,degroot,True,0.01308013133668284,-2800.7208891057207,4,0.11436840182796487,0.8710661187991774,0.12001157485996321,0.012775786432862264,0.7542574449701849,
slider,count,False,0.015300438509389919,-2510.901860477423,2,0.12369494132497869,1.0,0.0,0.0,0.7317104865302273,0.4319044318302096
slider,count,True,0.015008907228016621,-2540.9532140799074,5,0.12251084534855117,0.8388914071537571,0.10126082649572934,0.0685492155810349,0.8359881747330564,2.0
chat,degroot,False,0.018471985980283767,-2574.0399345658543,1,0.13591168448769872,1.0,0.0,0.0,0.8583650927287986,
chat,degroot,True,0.01668792370695305,-2794.8457145626626,4,0.1291817468025303,0.7724438808851573,0.16545190255443193,0.07421274479117075,0.9080883413557232,
chat,count,False,0.015945174475190796,-2900.5121586907035,2,0.12627420352229823,1.0,0.0,0.0,0.6287864211627318,0.3528421459171642
chat,count,True,0.015784841711132175,-2917.0791884228283,5,0.12563773999532216,0.9288469599996703,0.07206952180393605,0.021884770215712532,0.6608065995542365,0.6174956320079632
